,TL BASED,USD BASED,imkb_x
date,BSE100,BSE200,BSE500
04-Sep-15,8.961646934,8.083683484,9.224626833
07-Sep-15,8.947226026,8.068622233,9.209370902
08-Sep-15,8.963115427,8.082918031,9.222874491
09-Sep-15,8.980074014,8.099748615,9.239842862
10-Sep-15,8.977496171,8.097773165,9.23773567
11-Sep-15,8.976883824,8.097520634,9.238087826
14-Sep-15,8.98813513,8.10906855,9.249149462
15-Sep-15,8.981848795,8.102792278,9.242995347
16-Sep-15,8.98942808,8.108490849,9.247805699
18-Sep-15,9.00026111,8.118662981,9.2582654
21-Sep-15,9.000507835,8.119615893,9.259904522
22-Sep-15,8.979703818,8.10028587,9.24128753
23-Sep-15,8.984728778,8.104902844,9.246179412
24-Sep-15,8.986485318,8.107036093,9.248669341
28-Sep-15,8.977944146,8.098840393,9.241342792
29-Sep-15,8.982979189,8.103336976,9.245204494
30-Sep-15,8.996826556,8.117318428,9.258965761
01-Oct-15,8.997638367,8.118823849,9.260446812
05-Oct-15,9.018196332,8.139247915,9.280235769
06-Oct-15,9.022446921,8.143709192,9.284814991
07-Oct-15,9.025104172,8.146416425,9.287565267
08-Oct-15,9.018805705,8.140047283,9.281697779
09-Oct-15,9.024627471,8.145001338,9.286323157
12-Oct-15,9.020648521,8.141105316,9.282846133
13-Oct-15,9.018720923,8.139463866,9.281830922
14-Oct-15,9.016130428,8.137398754,9.280121066
15-Oct-15,9.024818901,8.14529728,9.287729099
16-Oct-15,9.031616735,8.151440022,9.293337787
19-Oct-15,9.035721473,8.156142976,9.298215709
20-Oct-15,9.034807718,8.156025312,9.298329271
21-Oct-15,9.032880976,8.154158064,9.296522655
23-Oct-15,9.037403838,8.157232856,9.299086327
26-Oct-15,9.033055311,8.152883462,9.294529854
27-Oct-15,9.030591503,8.150981488,9.292753192
28-Oct-15,9.023599866,8.14445855,9.286831858
29-Oct-15,9.016484955,8.137884015,9.280602171
30-Oct-15,9.011141593,8.132759367,9.275339412
02-Nov-15,9.009657676,8.131036471,9.273767651
03-Nov-15,9.011245323,8.132747617,9.275740397
04-Nov-15,9.009963189,8.13140129,9.274077322
05-Nov-15,8.998921566,8.120139607,9.262493447
06-Nov-15,8.997098883,8.118323287,9.260137648
09-Nov-15,8.993673303,8.116387213,9.259014339
10-Nov-15,8.977132596,8.100349593,9.243725824
11-Nov-15,8.9833419,8.107177746,9.251297077
13-Nov-15,8.974412954,8.097837048,9.241955311
16-Nov-15,8.979454426,8.101901965,9.246052051
17-Nov-15,8.98273689,8.106034908,9.250273331
18-Nov-15,8.970312581,8.094863675,9.239453444
19-Nov-15,8.984425484,8.108391523,9.252848943
20-Nov-15,8.986635413,8.111048853,9.255696074
23-Nov-15,8.98648907,8.111237963,9.256245426
24-Nov-15,8.984958067,8.109850321,9.25526976
26-Nov-15,8.990843912,8.115526859,9.260734963
27-Nov-15,8.997001101,8.121156496,9.266120336
30-Nov-15,8.99739712,8.12126942,9.266803878
01-Dec-15,8.999409442,8.124141714,9.269706791
02-Dec-15,8.997126112,8.122394989,9.2682092
03-Dec-15,8.989025148,8.114668755,9.260707387
04-Dec-15,8.978805461,8.105271283,9.251376744
07-Dec-15,8.977253802,8.103642483,9.250152257
