Date,Open,High,Low,Close
06/26/23, 15874.15, 15874.90, 15713.70, 15813.06
06/23/23, 15862.79, 15917.14, 15733.12, 15829.94
06/22/23, 15867.65, 15988.21, 15810.48, 15988.16
06/21/23, 16082.75, 16145.29, 16002.27, 16023.13
06/20/23, 16100.29, 16184.30, 16069.10, 16111.32
06/19/23, 16272.21, 16302.29, 16189.57, 16201.20
06/16/23, 16306.63, 16427.42, 16276.79, 16357.63
06/15/23, 16275.73, 16301.73, 16165.66, 16290.12
06/14/23, 16219.09, 16336.27, 16217.45, 16310.79
06/13/23, 16218.20, 16232.70, 16088.47, 16230.68
06/12/23, 16052.91, 16126.30, 16021.55, 16097.87
06/09/23, 15993.02, 15998.90, 15924.51, 15949.84
06/08/23, 15951.61, 16019.00, 15913.95, 15989.96
06/07/23, 15998.10, 16020.28, 15909.85, 15960.56
06/06/23, 15939.31, 16009.28, 15925.56, 15992.44
06/05/23, 16079.86, 16114.84, 15928.44, 15963.89
06/02/23, 15949.04, 16071.32, 15922.61, 16051.23
06/01/23, 15744.01, 15863.41, 15734.86, 15853.66
05/31/23, 15757.43, 15871.70, 15629.12, 15664.02
05/30/23, 15962.31, 16058.43, 15889.46, 15908.91
05/29/23, 16064.13, 16079.73, 15925.22, 15952.73
05/26/23, 15850.09, 16008.59, 15726.74, 15983.97
05/25/23, 15872.46, 15872.60, 15726.50, 15793.80
05/24/23, 16008.52, 16013.29, 15802.86, 15842.13
05/23/23, 16186.44, 16224.32, 16143.98, 16152.86
05/22/23, 16235.98, 16267.93, 16196.36, 16223.99
05/19/23, 16233.11, 16331.94, 16203.60, 16275.38
05/18/23, 16069.42, 16230.44, 16069.42, 16163.36
05/17/23, 15883.61, 15992.77, 15862.15, 15951.30
05/16/23, 15892.78, 15968.41, 15862.37, 15897.93
05/15/23, 15966.96, 15982.10, 15874.24, 15917.24
05/12/23, 15918.25, 15938.01, 15852.10, 15913.82
05/11/23, 15943.85, 15970.54, 15754.76, 15834.91
05/10/23, 15973.38, 15984.82, 15848.69, 15896.23
05/09/23, 15950.89, 15962.62, 15879.56, 15955.48
05/08/23, 15967.57, 15996.16, 15933.69, 15952.83
05/05/23, 15837.44, 15961.54, 15755.97, 15961.02
05/04/23, 15781.46, 15796.71, 15662.32, 15734.24
05/03/23, 15774.02, 15868.88, 15745.98, 15815.06
05/02/23, 15950.36, 16011.56, 15707.55, 15726.94
04/28/23, 15884.79, 15922.38, 15688.17, 15922.38
04/27/23, 15739.35, 15859.25, 15706.69, 15800.45
04/26/23, 15804.50, 15826.02, 15694.36, 15795.73
04/25/23, 15836.79, 15891.73, 15794.81, 15872.13
04/24/23, 15852.27, 15919.11, 15831.10, 15863.95
04/21/23, 15782.58, 15899.62, 15706.83, 15881.66
04/20/23, 15864.15, 15883.31, 15734.25, 15795.97
04/19/23, 15850.52, 15908.47, 15829.55, 15895.20
04/18/23, 15841.50, 15916.28, 15802.75, 15882.67
04/17/23, 15838.89, 15903.25, 15764.38, 15789.53
04/14/23, 15789.78, 15841.47, 15760.32, 15807.50
